id,REGISTRO_CAMARA_COMERCIO,REGISTRO_SUPERINTENDENCIA,TIPO_HABITACION,HORARIO_ADMIN_INICIAL,HORARIO_ADMIN_FINAL,TAMANO,UBICACION,CANTIDAD_NOCHES,CAPACIDAD_MAXIMA
799,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",compartida,5,11,mediano,227 Hollow Ridge Trail,19,11
800,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",compartida,5,11,pequeño,40 Twin Pines Street,20,50
801,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",sencilla,6,12,pequeño,666 Lillian Circle,17,5
802,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.","Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",sencilla,2,8,pequeño,39903 High Crossing Lane,18,10
803,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",sencilla,10,16,pequeño,5844 Donald Parkway,14,25
804,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Nunc purus. Phasellus in felis.,compartida,5,11,mediano,943 Starling Parkway,13,16
805,Phasellus in felis.,Duis bibendum. Morbi non quam nec dui luctus rutrum.,compartida,3,9,pequeño,7 Londonderry Junction,7,41
806,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",compartida,6,12,mediano,494 Forest Run Junction,12,8
807,Proin at turpis a pede posuere nonummy.,Quisque id justo sit amet sapien dignissim vestibulum.,sencilla,6,12,pequeño,434 Texas Crossing,2,36
808,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Morbi non lectus.,compartida,1,7,pequeño,35 Rowland Park,14,24
809,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",compartida,2,8,pequeño,00556 Norway Maple Crossing,3,2
810,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",compartida,10,16,pequeño,517 Sage Street,3,3
811,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,sencilla,7,13,pequeño,3654 Anniversary Park,3,10
812,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",In sagittis dui vel nisl. Duis ac nibh.,compartida,9,15,mediano,17 Kipling Junction,3,44
813,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,compartida,9,15,grande,4 Ludington Crossing,3,18
814,In eleifend quam a odio. In hac habitasse platea dictumst.,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",compartida,4,10,pequeño,0171 Kings Road,2,2
815,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",Nunc nisl.,compartida,9,15,mediano,86 Bobwhite Alley,8,33
816,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,compartida,8,14,pequeño,744 Continental Lane,9,29
817,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,In hac habitasse platea dictumst.,sencilla,4,10,pequeño,40584 Knutson Point,13,31
818,In sagittis dui vel nisl.,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,compartida,8,14,pequeño,04 Melby Plaza,4,49
819,Nulla justo.,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",compartida,10,16,mediano,694 Sheridan Way,19,45
820,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,sencilla,6,12,pequeño,0 Mariners Cove Place,15,25
821,Pellentesque ultrices mattis odio.,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",sencilla,2,8,pequeño,418 Hagan Place,8,18
822,Nulla tellus. In sagittis dui vel nisl.,Etiam justo. Etiam pretium iaculis justo.,sencilla,9,15,pequeño,343 Veith Drive,20,21
823,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Sed ante.,compartida,8,14,pequeño,955 Sachtjen Alley,13,43
824,Integer a nibh.,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,compartida,6,12,pequeño,0081 Cherokee Pass,5,36
825,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Nullam porttitor lacus at turpis.,compartida,7,13,grande,3163 Mayer Place,9,9
826,Praesent blandit lacinia erat.,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",compartida,6,12,pequeño,8 Dayton Place,2,18
827,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Morbi non quam nec dui luctus rutrum. Nulla tellus.,sencilla,4,10,pequeño,3 Morrow Place,14,33
828,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",compartida,5,11,grande,88 Vera Plaza,9,20
829,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,compartida,10,16,grande,4067 Little Fleur Crossing,15,27
830,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",sencilla,10,16,grande,5140 Crescent Oaks Drive,8,39
831,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",compartida,6,12,mediano,976 American Ash Point,13,42
832,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",sencilla,6,12,pequeño,49 Sauthoff Drive,14,13
833,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,compartida,3,9,pequeño,7965 Londonderry Lane,20,10
834,Mauris ullamcorper purus sit amet nulla.,Phasellus sit amet erat.,sencilla,10,16,mediano,84 Hanover Drive,3,27
835,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",compartida,2,8,mediano,8 Burning Wood Way,17,37
836,Suspendisse potenti.,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,sencilla,9,15,pequeño,78 Manitowish Street,15,40
837,In hac habitasse platea dictumst.,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",sencilla,9,15,grande,1 Ilene Hill,10,42
838,Praesent blandit lacinia erat.,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",sencilla,3,9,grande,40254 Corscot Way,16,28
839,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,compartida,10,16,pequeño,63 Harbort Circle,16,28
840,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Suspendisse ornare consequat lectus.,compartida,3,9,pequeño,50200 Duke Circle,14,29
841,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.","Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",compartida,6,12,pequeño,4 Weeping Birch Pass,9,6
842,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",sencilla,1,7,grande,3 Pankratz Way,10,21
843,Aenean sit amet justo.,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",compartida,4,10,pequeño,62 Arkansas Terrace,18,34
844,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",sencilla,1,7,grande,3 Merchant Point,18,11
845,Integer ac leo.,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,sencilla,6,12,grande,9 Shoshone Alley,12,31
846,Proin eu mi.,Ut at dolor quis odio consequat varius. Integer ac leo.,sencilla,4,10,grande,200 Old Shore Plaza,20,16
847,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Cras pellentesque volutpat dui.,compartida,2,8,pequeño,864 Dapin Center,14,4
848,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.","Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",sencilla,10,16,grande,2 Farwell Alley,18,11
849,Nullam molestie nibh in lectus. Pellentesque at nulla.,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",compartida,3,9,pequeño,208 Petterle Terrace,14,2
850,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,In hac habitasse platea dictumst.,sencilla,4,10,grande,617 Manufacturers Circle,4,4
851,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,sencilla,3,9,pequeño,3359 Roxbury Pass,12,11
852,Suspendisse accumsan tortor quis turpis. Sed ante.,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",sencilla,6,12,pequeño,15166 Manitowish Trail,8,24
853,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",sencilla,8,14,grande,96 Bobwhite Alley,11,32
854,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",sencilla,10,16,pequeño,7850 Parkside Circle,11,50
855,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",compartida,9,15,grande,26 Sage Circle,12,9
856,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",sencilla,9,15,grande,9139 Barnett Road,16,26
857,Suspendisse accumsan tortor quis turpis. Sed ante.,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",sencilla,9,15,mediano,800 Lukken Junction,5,20
858,Maecenas rhoncus aliquam lacus.,Fusce consequat.,sencilla,3,9,pequeño,79523 Towne Crossing,9,3
859,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,compartida,2,8,pequeño,352 Mcguire Center,5,5
860,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Nunc rhoncus dui vel sem. Sed sagittis.,sencilla,7,13,grande,62649 Mariners Cove Street,17,41
861,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",compartida,2,8,grande,05 Alpine Lane,12,27
862,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",In congue.,compartida,5,11,mediano,821 Ludington Parkway,12,19
863,Nunc purus. Phasellus in felis.,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,sencilla,6,12,grande,6 Di Loreto Avenue,18,42
864,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Cras pellentesque volutpat dui.,compartida,2,8,pequeño,89793 Killdeer Avenue,19,39
865,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,compartida,9,15,pequeño,2430 Fairview Court,19,50
866,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",compartida,2,8,pequeño,5 Grayhawk Circle,6,4
867,Aenean lectus. Pellentesque eget nunc.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",sencilla,9,15,grande,6325 Killdeer Parkway,1,49
868,In sagittis dui vel nisl. Duis ac nibh.,Donec vitae nisi.,sencilla,4,10,pequeño,32202 Sauthoff Way,7,12
869,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.","Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",compartida,6,12,pequeño,74392 Glendale Center,8,50
870,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Nam nulla.,compartida,10,16,pequeño,000 Northridge Place,6,15
871,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",Suspendisse accumsan tortor quis turpis.,compartida,2,8,mediano,39136 Stone Corner Road,2,16
872,Nulla mollis molestie lorem. Quisque ut erat.,Vivamus vel nulla eget eros elementum pellentesque.,compartida,4,10,grande,75241 Thompson Center,13,30
873,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",compartida,4,10,mediano,00 Mallard Street,11,23
874,In eleifend quam a odio. In hac habitasse platea dictumst.,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",sencilla,10,16,mediano,00609 Transport Drive,15,35
875,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,sencilla,1,7,mediano,131 Milwaukee Point,20,43
876,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",In congue. Etiam justo. Etiam pretium iaculis justo.,sencilla,5,11,grande,1088 Golf Junction,9,32
877,In quis justo.,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",compartida,6,12,grande,409 Lien Terrace,1,38
878,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,compartida,6,12,pequeño,2 Lillian Road,7,49
879,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",sencilla,4,10,pequeño,4 Montana Trail,16,43
880,Aliquam quis turpis eget elit sodales scelerisque.,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,sencilla,5,11,pequeño,4 Talisman Lane,19,14
881,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,sencilla,4,10,pequeño,5374 Prentice Drive,10,46
882,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.","Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",sencilla,5,11,pequeño,618 Di Loreto Park,6,42
883,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",compartida,9,15,pequeño,9298 Chive Plaza,16,37
884,Sed accumsan felis.,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",sencilla,10,16,mediano,4870 Homewood Hill,19,26
885,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,Phasellus sit amet erat.,compartida,3,9,grande,3 Carpenter Parkway,17,40
886,Donec dapibus.,Morbi porttitor lorem id ligula.,compartida,9,15,pequeño,7579 Hollow Ridge Point,7,20
887,Etiam faucibus cursus urna. Ut tellus.,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,compartida,5,11,pequeño,6257 Trailsway Point,1,44
888,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.","Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",compartida,6,12,grande,3 Leroy Terrace,14,2
889,Nam tristique tortor eu pede.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",compartida,8,14,pequeño,27 Bayside Plaza,7,47
890,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",sencilla,6,12,mediano,8 Sauthoff Place,20,45
891,Etiam justo. Etiam pretium iaculis justo.,Nullam sit amet turpis elementum ligula vehicula consequat.,compartida,3,9,mediano,7807 Holy Cross Park,10,43
892,Morbi ut odio.,Vestibulum sed magna at nunc commodo placerat.,compartida,4,10,mediano,183 Glendale Trail,5,41
893,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",compartida,7,13,pequeño,365 Tennessee Court,1,5
894,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,Curabitur at ipsum ac tellus semper interdum.,compartida,2,8,pequeño,483 Mallard Terrace,13,13
895,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,sencilla,6,12,mediano,1 Continental Court,17,26
896,Morbi ut odio.,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,sencilla,4,10,grande,56854 Meadow Ridge Parkway,13,25
897,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Nullam porttitor lacus at turpis.,sencilla,3,9,mediano,872 Kensington Road,20,3
898,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",compartida,8,14,mediano,445 Mcguire Crossing,4,13
899,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",compartida,1,7,pequeño,71 Del Sol Park,9,29
900,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,compartida,9,15,mediano,01353 Brickson Park Alley,10,43
901,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",compartida,1,7,grande,382 Forest Run Point,2,24
902,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,sencilla,2,8,pequeño,4 Packers Alley,10,12
903,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,sencilla,9,15,mediano,86 West Crossing,8,32
904,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Suspendisse potenti.,sencilla,3,9,mediano,3587 Scoville Park,17,25
905,Cras in purus eu magna vulputate luctus.,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",compartida,1,7,mediano,06 Mcguire Junction,15,28
906,Vivamus vestibulum sagittis sapien.,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",compartida,7,13,mediano,95 Prairieview Plaza,12,27
907,Duis bibendum. Morbi non quam nec dui luctus rutrum.,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,sencilla,9,15,mediano,77 Bashford Way,2,15
908,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.","Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",sencilla,3,9,grande,8 Sherman Hill,15,35
909,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.","In est risus, auctor sed, tristique in, tempus sit amet, sem.",sencilla,10,16,pequeño,8772 Bunting Drive,14,19
910,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,In eleifend quam a odio.,sencilla,4,10,mediano,4736 Upham Plaza,4,19
911,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,compartida,3,9,pequeño,5 Thierer Street,15,49
912,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.","Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",compartida,10,16,mediano,918 Bay Street,1,14
913,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",compartida,4,10,pequeño,455 Derek Crossing,3,16
914,Fusce consequat. Nulla nisl. Nunc nisl.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,sencilla,4,10,pequeño,9 Schlimgen Junction,15,18
915,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,compartida,7,13,pequeño,8 Green Ridge Center,14,18
916,Duis at velit eu est congue elementum.,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",compartida,3,9,grande,6721 Pankratz Hill,4,14
917,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",Duis bibendum.,compartida,4,10,grande,66 Ilene Road,7,24
