id,REGISTRO_CAMARA_COMERCIO,REGISTRO_SUPERINTENDENCIA,TIPO_HABITACION,HORARIO_ADMIN_24H,TAMANO,UBICACION,CANTIDAD_NOCHES,CAPACIDAD_MAXIMA
480,Morbi quis tortor id nulla ultrices aliquet.,Donec semper sapien a libero.,suite,0,pequeño,75695 American Ash Avenue,11,5
481,Integer ac leo.,Integer a nibh. In quis justo.,suite,0,pequeño,5449 Gerald Point,15,2
482,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,suite,1,mediano,9 Longview Plaza,13,3
483,Donec semper sapien a libero.,Donec semper sapien a libero.,estandar,1,mediano,78 Scoville Place,18,4
484,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",semisuite,1,grande,75587 Warrior Crossing,3,4
485,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Maecenas pulvinar lobortis est. Phasellus sit amet erat.,suite,0,pequeño,60488 Jay Center,12,3
486,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,suite,1,mediano,6617 Lake View Trail,13,4
487,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,suite,1,grande,680 Old Shore Drive,13,6
488,Nulla ut erat id mauris vulputate elementum.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,suite,0,pequeño,230 Nova Center,16,2
489,Morbi non quam nec dui luctus rutrum. Nulla tellus.,Integer ac leo. Pellentesque ultrices mattis odio.,suite,1,mediano,32 Warbler Street,11,3
490,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",semisuite,1,pequeño,1 Stang Place,20,4
491,Nullam molestie nibh in lectus. Pellentesque at nulla.,Aliquam non mauris.,suite,1,pequeño,6018 Gulseth Terrace,12,2
492,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",semisuite,0,grande,5696 Laurel Pass,18,6
493,Integer ac leo. Pellentesque ultrices mattis odio.,Sed sagittis.,semisuite,1,mediano,6 Jana Alley,14,2
494,Cras non velit nec nisi vulputate nonummy.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",suite,0,pequeño,7 Golf Junction,14,4
495,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Aenean auctor gravida sem.,suite,1,grande,5102 Kennedy Pass,4,5
496,Suspendisse potenti.,Morbi quis tortor id nulla ultrices aliquet.,estandar,1,pequeño,7439 Farwell Parkway,5,5
497,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Nulla mollis molestie lorem.,estandar,1,mediano,281 Amoth Junction,17,6
498,Donec ut dolor.,Aliquam erat volutpat.,estandar,0,pequeño,7675 Tennyson Center,10,2
499,Proin at turpis a pede posuere nonummy. Integer non velit.,Morbi non lectus.,suite,1,grande,01767 Sachtjen Trail,5,5
500,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",semisuite,1,pequeño,51031 Sherman Street,19,5
501,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,Pellentesque ultrices mattis odio.,suite,0,grande,57119 Toban Avenue,10,4
502,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,suite,1,mediano,22540 Glendale Place,16,2
503,Integer ac neque. Duis bibendum.,Ut at dolor quis odio consequat varius. Integer ac leo.,semisuite,0,mediano,64820 Dawn Place,3,6
504,Suspendisse potenti. In eleifend quam a odio.,Vestibulum ac est lacinia nisi venenatis tristique.,semisuite,0,pequeño,5748 Browning Hill,7,3
505,Morbi quis tortor id nulla ultrices aliquet.,In hac habitasse platea dictumst.,suite,0,grande,33 Golf View Alley,2,5
506,In sagittis dui vel nisl.,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",suite,1,pequeño,59231 Union Street,17,2
507,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,suite,1,pequeño,8 Stang Trail,9,6
508,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,Maecenas rhoncus aliquam lacus.,suite,1,pequeño,08 Warner Pass,20,2
509,Ut at dolor quis odio consequat varius. Integer ac leo.,Etiam vel augue.,estandar,0,pequeño,36 Monica Lane,5,6
510,Etiam pretium iaculis justo.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",suite,1,pequeño,79 Ludington Drive,2,6
511,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Duis consequat dui nec nisi volutpat eleifend.,suite,0,pequeño,7352 Straubel Park,20,3
512,Mauris ullamcorper purus sit amet nulla.,Ut tellus.,suite,0,grande,5119 Sutteridge Junction,11,6
513,Mauris lacinia sapien quis libero.,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,suite,0,mediano,5428 Quincy Way,18,3
514,Integer non velit.,Integer ac neque.,suite,0,grande,98023 Crest Line Park,15,5
515,Etiam pretium iaculis justo.,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",suite,1,pequeño,88 Esker Hill,13,3
516,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",Integer ac neque.,estandar,1,mediano,12 Fulton Pass,16,2
517,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Aenean sit amet justo. Morbi ut odio.,suite,1,grande,7 Moulton Avenue,14,4
518,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",Integer ac neque. Duis bibendum.,suite,0,pequeño,68083 Straubel Point,16,2
519,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,suite,0,pequeño,60 Mosinee Alley,3,2
520,Donec vitae nisi.,Morbi a ipsum. Integer a nibh.,semisuite,0,pequeño,863 Springs Street,16,6
521,Donec dapibus. Duis at velit eu est congue elementum.,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",suite,0,pequeño,32434 Dovetail Center,11,5
522,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",semisuite,0,pequeño,5618 Ryan Trail,3,2
523,Nam nulla.,Suspendisse accumsan tortor quis turpis. Sed ante.,suite,1,pequeño,90 Old Gate Lane,2,6
524,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.","In est risus, auctor sed, tristique in, tempus sit amet, sem.",estandar,0,pequeño,187 Maryland Drive,8,5
525,Sed vel enim sit amet nunc viverra dapibus.,Nunc rhoncus dui vel sem. Sed sagittis.,estandar,0,pequeño,2 High Crossing Terrace,3,4
526,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,Quisque porta volutpat erat.,suite,1,pequeño,310 Eagle Crest Parkway,6,5
527,In hac habitasse platea dictumst.,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",semisuite,1,pequeño,96 Moulton Trail,3,2
528,Morbi a ipsum.,Vivamus tortor.,semisuite,0,pequeño,05693 Sachtjen Crossing,3,5
529,Ut tellus.,Phasellus in felis. Donec semper sapien a libero.,suite,0,pequeño,3 Dexter Alley,11,3
530,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Quisque id justo sit amet sapien dignissim vestibulum.,suite,1,grande,371 Maryland Pass,6,2
531,Suspendisse potenti. Nullam porttitor lacus at turpis.,Nulla tempus.,suite,1,pequeño,1143 5th Circle,6,5
532,Donec posuere metus vitae ipsum. Aliquam non mauris.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",estandar,0,pequeño,91 Vidon Terrace,18,4
533,Integer ac neque. Duis bibendum.,Aliquam non mauris.,estandar,1,pequeño,3 Vernon Alley,4,2
534,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",In congue.,suite,1,pequeño,7 Bunker Hill Road,4,3
535,Etiam justo. Etiam pretium iaculis justo.,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,suite,0,grande,8699 Ruskin Alley,1,4
536,Etiam vel augue. Vestibulum rutrum rutrum neque.,Proin eu mi.,suite,0,pequeño,80 Luster Crossing,14,3
537,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.","Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",suite,0,pequeño,9 Morrow Center,12,3
538,In quis justo. Maecenas rhoncus aliquam lacus.,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",semisuite,0,pequeño,07020 Utah Place,20,4
539,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",suite,0,grande,0035 Forest Run Circle,12,3
540,Integer ac leo. Pellentesque ultrices mattis odio.,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",suite,0,grande,2 Chinook Junction,20,5
541,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",suite,1,pequeño,97 Veith Park,3,5
542,Nulla mollis molestie lorem.,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",suite,1,mediano,1 Surrey Street,8,2
543,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Nulla mollis molestie lorem.,estandar,0,pequeño,06557 5th Avenue,20,3
544,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Fusce consequat. Nulla nisl.,estandar,1,grande,945 Stoughton Court,14,4
545,Pellentesque at nulla.,In sagittis dui vel nisl.,semisuite,0,pequeño,438 Merrick Parkway,4,5
546,Curabitur at ipsum ac tellus semper interdum.,Integer ac leo. Pellentesque ultrices mattis odio.,suite,0,mediano,16 Heath Lane,19,3
547,Aliquam non mauris. Morbi non lectus.,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",suite,1,mediano,8 Holy Cross Plaza,14,3
548,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,semisuite,1,pequeño,7593 Waxwing Park,13,3
549,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",suite,1,pequeño,4830 Anthes Terrace,17,6
550,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.","Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",estandar,1,grande,51393 Hollow Ridge Terrace,4,3
551,Nulla mollis molestie lorem. Quisque ut erat.,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",semisuite,1,grande,096 Mccormick Pass,5,5
552,Praesent blandit lacinia erat.,In hac habitasse platea dictumst.,suite,1,mediano,05512 Oak Valley Avenue,13,4
553,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Aliquam quis turpis eget elit sodales scelerisque.,estandar,0,grande,95216 Waywood Hill,12,6
554,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,semisuite,0,grande,95806 Moulton Point,11,6
555,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Proin interdum mauris non ligula pellentesque ultrices.,suite,0,pequeño,5795 Brickson Park Crossing,9,3
556,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,estandar,0,pequeño,6 Golden Leaf Avenue,11,5
557,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Duis aliquam convallis nunc.,suite,1,pequeño,963 Cambridge Place,20,4
558,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Maecenas pulvinar lobortis est. Phasellus sit amet erat.,semisuite,1,mediano,92 Vera Trail,16,3
559,Vestibulum ac est lacinia nisi venenatis tristique.,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",estandar,0,grande,918 Pearson Road,20,5
560,Integer ac leo. Pellentesque ultrices mattis odio.,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,estandar,1,pequeño,782 Texas Pass,12,6
561,Duis mattis egestas metus. Aenean fermentum.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,semisuite,0,pequeño,2019 Jenna Street,18,3
562,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Curabitur convallis.,estandar,1,pequeño,417 East Point,2,4
563,Etiam vel augue. Vestibulum rutrum rutrum neque.,Nulla nisl.,suite,0,grande,3 Ludington Drive,13,6
564,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,Curabitur convallis.,semisuite,1,pequeño,2018 Nevada Park,20,4
565,Ut at dolor quis odio consequat varius. Integer ac leo.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",suite,1,mediano,68378 Kingsford Place,19,4
566,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",suite,1,pequeño,6 Dahle Trail,17,6
567,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,suite,0,grande,0984 Washington Point,15,4
568,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",In hac habitasse platea dictumst.,estandar,1,mediano,687 Raven Court,13,3
569,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",suite,0,mediano,2810 International Parkway,15,6
570,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Donec posuere metus vitae ipsum.,suite,0,mediano,42793 Loftsgordon Pass,12,3
571,Maecenas rhoncus aliquam lacus.,Nulla ut erat id mauris vulputate elementum.,estandar,1,pequeño,498 Northview Avenue,9,5
572,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.","Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",semisuite,1,grande,685 Randy Crossing,2,5
573,Donec dapibus. Duis at velit eu est congue elementum.,Mauris sit amet eros.,semisuite,0,pequeño,6 Melrose Center,18,3
574,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Duis bibendum.,semisuite,1,grande,63916 Delladonna Point,6,6
575,In congue.,Nullam varius.,suite,1,grande,54631 Del Mar Point,17,3
576,Duis consequat dui nec nisi volutpat eleifend.,Maecenas pulvinar lobortis est.,suite,0,pequeño,1 Bultman Place,17,4
577,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Ut tellus. Nulla ut erat id mauris vulputate elementum.,suite,0,grande,34 Anzinger Terrace,9,3
578,Suspendisse potenti.,Pellentesque at nulla. Suspendisse potenti.,semisuite,1,mediano,5 American Ash Junction,14,2
579,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Quisque id justo sit amet sapien dignissim vestibulum.,suite,0,mediano,1386 Hanover Lane,13,2
580,Nulla justo.,Duis bibendum. Morbi non quam nec dui luctus rutrum.,suite,1,grande,77 7th Drive,8,2
581,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Pellentesque at nulla.,estandar,1,pequeño,516 Esker Pass,11,4
582,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,suite,0,mediano,40377 Village Green Center,6,3
583,Duis mattis egestas metus. Aenean fermentum.,Nunc rhoncus dui vel sem.,suite,0,grande,6 Prairie Rose Hill,6,5
584,Praesent blandit.,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",semisuite,0,pequeño,95475 Hooker Street,5,4
585,In sagittis dui vel nisl. Duis ac nibh.,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",estandar,0,grande,91 Oneill Terrace,10,6
586,In hac habitasse platea dictumst.,Aenean fermentum.,estandar,1,mediano,570 Bay Pass,19,5
587,Praesent blandit. Nam nulla.,Aliquam non mauris. Morbi non lectus.,semisuite,0,pequeño,515 Pankratz Circle,2,6
588,Aliquam quis turpis eget elit sodales scelerisque.,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,semisuite,0,grande,89 Rusk Trail,4,3
589,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,suite,0,pequeño,22709 Main Plaza,16,5
590,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",suite,1,grande,542 Alpine Road,9,4
591,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,suite,0,pequeño,76 Quincy Hill,15,5
592,In quis justo.,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",suite,1,mediano,809 Amoth Junction,15,3
593,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Praesent lectus.,suite,1,grande,36 Arapahoe Street,5,5
594,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",suite,1,pequeño,23621 Memorial Trail,5,4
595,Morbi non lectus.,Vivamus tortor.,estandar,0,grande,8 Sage Point,5,5
596,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Vestibulum ac est lacinia nisi venenatis tristique.,suite,1,grande,146 Garrison Lane,1,3
597,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Curabitur at ipsum ac tellus semper interdum.,suite,1,grande,382 Columbus Place,4,2
598,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Maecenas tincidunt lacus at velit.,semisuite,0,grande,7020 Basil Pass,3,3
599,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,semisuite,0,pequeño,8794 Forest Hill,17,5
600,Suspendisse potenti. Nullam porttitor lacus at turpis.,Cras in purus eu magna vulputate luctus.,suite,1,pequeño,457 Algoma Alley,17,3
601,Pellentesque eget nunc.,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,suite,0,pequeño,7 Manitowish Hill,2,3
602,Morbi a ipsum. Integer a nibh.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",suite,0,mediano,10746 1st Place,16,2
603,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,Integer a nibh. In quis justo.,suite,1,mediano,81 Mcbride Hill,8,6
604,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,suite,0,pequeño,8 Schlimgen Lane,6,6
605,Pellentesque at nulla.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",suite,1,pequeño,6 Ilene Junction,4,4
606,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Etiam justo.,estandar,1,pequeño,8 Manitowish Lane,8,4
607,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",suite,0,pequeño,5 Moose Crossing,16,5
608,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,Praesent id massa id nisl venenatis lacinia.,suite,0,mediano,70 American Plaza,17,4
609,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,estandar,0,pequeño,170 Morrow Park,4,5
610,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,estandar,1,pequeño,9 Lien Way,12,4
611,Nullam varius.,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,suite,1,mediano,0 Derek Lane,8,4
612,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",suite,1,pequeño,2 Union Crossing,20,3
613,Vestibulum rutrum rutrum neque.,Proin at turpis a pede posuere nonummy.,suite,0,grande,331 Stephen Plaza,6,2
614,In congue. Etiam justo.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",estandar,0,pequeño,6 Memorial Pass,15,5
615,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",In blandit ultrices enim.,estandar,0,pequeño,5625 Bunker Hill Drive,17,2
616,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Integer a nibh. In quis justo.,suite,1,pequeño,909 Cambridge Point,11,3
617,Nulla ac enim.,Nulla ut erat id mauris vulputate elementum.,estandar,1,mediano,0584 Kensington Parkway,6,5
618,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,semisuite,0,pequeño,23489 Melrose Center,4,5
619,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",estandar,0,grande,1306 Everett Pass,1,3
620,Donec quis orci eget orci vehicula condimentum.,Donec semper sapien a libero. Nam dui.,suite,0,mediano,42 Summerview Way,5,4
621,Nulla nisl. Nunc nisl.,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,suite,1,mediano,21268 Magdeline Pass,3,4
622,Nulla tellus. In sagittis dui vel nisl.,In hac habitasse platea dictumst.,semisuite,0,pequeño,232 Hovde Circle,10,5
623,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,suite,1,pequeño,63998 La Follette Circle,4,6
624,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Vivamus vestibulum sagittis sapien.,semisuite,1,pequeño,15511 Rutledge Street,2,2
625,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",suite,1,mediano,303 Maywood Place,15,3
626,Sed ante. Vivamus tortor.,Proin at turpis a pede posuere nonummy.,suite,0,grande,80331 Boyd Avenue,7,6
627,Nulla mollis molestie lorem. Quisque ut erat.,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",semisuite,0,mediano,6628 John Wall Terrace,11,4
628,Quisque ut erat.,Etiam vel augue.,suite,0,mediano,23687 Crescent Oaks Trail,14,6
629,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Maecenas pulvinar lobortis est. Phasellus sit amet erat.,semisuite,0,pequeño,60378 Marcy Circle,20,3
630,Suspendisse ornare consequat lectus.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",semisuite,1,pequeño,05135 Eliot Avenue,10,6
631,Curabitur gravida nisi at nibh.,Quisque ut erat. Curabitur gravida nisi at nibh.,semisuite,0,pequeño,9613 Cody Way,3,5
632,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Quisque ut erat.,estandar,1,grande,138 David Terrace,12,3
633,Sed accumsan felis. Ut at dolor quis odio consequat varius.,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,semisuite,1,grande,723 Gina Circle,5,2
634,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",estandar,1,pequeño,64 Dovetail Court,17,2
635,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Proin eu mi. Nulla ac enim.,suite,0,pequeño,227 Randy Circle,19,2
